"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.690553155","192.168.209.97","192.168.209.220","DNS","80","Standard query 0xebaf A ping-ams1.online.net"
"4","0.690681777","192.168.209.97","192.168.209.220","DNS","80","Standard query 0x1bac AAAA ping-ams1.online.net"
"5","0.733076574","192.168.209.220","192.168.209.97","DNS","96","Standard query response 0xebaf A ping-ams1.online.net A 163.172.208.7"
"6","0.748954175","192.168.209.220","192.168.209.97","DNS","137","Standard query response 0x1bac AAAA ping-ams1.online.net SOA nsa.online.net"
"7","0.749382381","192.168.209.97","163.172.208.7","UDP","114","54941  >  33434 Len=72"
"8","0.749412301","192.168.209.97","163.172.208.7","UDP","114","55716  >  33435 Len=72"
"9","0.749424694","192.168.209.97","163.172.208.7","UDP","114","53031  >  33436 Len=72"
"10","0.749436798","192.168.209.97","163.172.208.7","UDP","114","40397  >  33437 Len=72"
"11","0.749449712","192.168.209.97","163.172.208.7","UDP","114","39237  >  33438 Len=72"
"12","0.749461634","192.168.209.97","163.172.208.7","UDP","114","48384  >  33439 Len=72"
"13","0.749473440","192.168.209.97","163.172.208.7","UDP","114","54907  >  33440 Len=72"
"14","0.749485474","192.168.209.97","163.172.208.7","UDP","114","57393  >  33441 Len=72"
"15","0.749501117","192.168.209.97","163.172.208.7","UDP","114","45724  >  33442 Len=72"
"16","0.749513155","192.168.209.97","163.172.208.7","UDP","114","45392  >  33443 Len=72"
"17","0.749524502","192.168.209.97","163.172.208.7","UDP","114","43895  >  33444 Len=72"
"18","0.749536117","192.168.209.97","163.172.208.7","UDP","114","35146  >  33445 Len=72"
"19","0.749547976","192.168.209.97","163.172.208.7","UDP","114","34304  >  33446 Len=72"
"20","0.749561524","192.168.209.97","163.172.208.7","UDP","114","56368  >  33447 Len=72"
"21","0.749573943","192.168.209.97","163.172.208.7","UDP","114","56000  >  33448 Len=72"
"22","0.749586422","192.168.209.97","163.172.208.7","UDP","114","55116  >  33449 Len=72"
