"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","14000  >  12000 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=128089508 TSecr=0 WS=128"
"2","0.000011654","127.0.0.1","127.0.0.1","TCP","66","12000  >  14000 [ACK] Seq=3897200914 Ack=3897332400 Win=65536 Len=0 TSval=128089508 TSecr=128069646"
"3","0.000033288","127.0.0.1","127.0.0.1","TCP","54","14000  >  12000 [RST] Seq=3897332400 Win=0 Len=0"
"4","0.000052840","127.0.0.1","127.0.0.1","TCP","74","14001  >  12001 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=128089508 TSecr=0 WS=128"
"5","0.000057882","127.0.0.1","127.0.0.1","TCP","66","12001  >  14001 [ACK] Seq=3897199916 Ack=3897331473 Win=65536 Len=0 TSval=128089508 TSecr=128069646"
"6","0.000061149","127.0.0.1","127.0.0.1","TCP","54","14001  >  12001 [RST] Seq=3897331473 Win=0 Len=0"
"7","0.000117900","127.0.0.1","127.0.0.1","TCP","74","14002  >  12002 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=128089508 TSecr=0 WS=128"
"8","0.000119997","127.0.0.1","127.0.0.1","TCP","66","12002  >  14002 [ACK] Seq=3897199961 Ack=3897330478 Win=65536 Len=0 TSval=128089508 TSecr=128069646"
"9","0.000121918","127.0.0.1","127.0.0.1","TCP","54","14002  >  12002 [RST] Seq=3897330478 Win=0 Len=0"
"10","0.000295007","127.0.0.1","127.0.0.1","TCP","74","14003  >  12003 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=128089508 TSecr=0 WS=128"
"11","0.000296579","127.0.0.1","127.0.0.1","TCP","66","12003  >  14003 [ACK] Seq=3897333490 Ack=3897326857 Win=65536 Len=0 TSval=128089508 TSecr=128069646"
"12","0.000298357","127.0.0.1","127.0.0.1","TCP","54","14003  >  12003 [RST] Seq=3897326857 Win=0 Len=0"
"13","0.000307549","127.0.0.1","127.0.0.1","TCP","74","14004  >  12004 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=128089508 TSecr=0 WS=128"
"14","0.000310872","127.0.0.1","127.0.0.1","TCP","66","12004  >  14004 [ACK] Seq=3897396386 Ack=3897329768 Win=65536 Len=0 TSval=128089508 TSecr=128069646"
"15","0.000313597","127.0.0.1","127.0.0.1","TCP","54","14004  >  12004 [RST] Seq=3897329768 Win=0 Len=0"
"16","0.010366641","127.0.0.1","127.0.0.1","TCP","74","[TCP Retransmission] [TCP Port numbers reused] 14004  >  12004 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=128089518 TSecr=0 WS=128"
"17","0.010400164","127.0.0.1","127.0.0.1","TCP","74","[TCP Previous segment not captured] [TCP Port numbers reused] 12004  >  14004 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=128089518 TSecr=128089518 WS=128"
